%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1518221000867502219,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,48.0,6.0,186.020004272,1.56391108036,159.0,16.0,568.0
1518221000878497152,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,64.0,6.0,186.020004272,1.56391108036,159.0,16.0,352.0
1518221000896231449,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,0.0,6.0,188.029998779,1.56905555725,159.0,16.0,736.0
1518221000911884761,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,0.0,6.0,188.029998779,1.56905555725,159.0,16.0,736.0
1518221000927523905,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,16.0,6.0,188.029998779,1.56905555725,159.0,16.0,736.0
1518221000944806798,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,32.0,6.0,188.029998779,1.56905555725,159.0,16.0,736.0
1518221000959665631,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,48.0,6.0,188.029998779,1.56905555725,159.0,16.0,608.0
1518221000976189410,0,42.4442329407,-76.4832839966,19.0,9.0,10.0,64.0,6.0,188.029998779,1.56905555725,159.0,16.0,0.0
1518221000992177512,0,42.444229126,-76.4832839966,19.0,9.0,10.0,0.0,6.0,189.830001831,1.58448886871,159.0,16.0,744.0
1518221001008318896,0,42.444229126,-76.4832839966,19.0,9.0,10.0,16.0,6.0,189.830001831,1.58448886871,159.0,16.0,736.0
1518221001026438974,0,42.444229126,-76.4832839966,19.0,9.0,10.0,0.0,6.0,189.830001831,1.58448886871,159.0,16.0,728.0
1518221001041617963,0,42.444229126,-76.4832839966,19.0,9.0,10.0,16.0,6.0,189.830001831,1.58448886871,159.0,16.0,736.0
1518221001054544039,0,42.444229126,-76.4832839966,19.0,9.0,10.0,32.0,6.0,189.830001831,1.58448886871,159.0,16.0,736.0
1518221001072412139,0,42.444229126,-76.4832839966,19.0,9.0,10.0,48.0,6.0,189.830001831,1.58448886871,159.0,16.0,224.0
1518221001086756650,0,42.444229126,-76.4832839966,19.0,9.0,10.0,0.0,6.0,190.940002441,1.59477782249,159.0,16.0,656.0
